X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.886088617227,57.8600622843643,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2EF,XXXXX
-152.886865498169,57.8596831543793,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F2,XXXXX
-152.887011365617,57.8587838948774,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F5,XXXXX
-152.887157141079,57.8578873715162,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F8,XXXXX
-152.887297775428,57.8569908028346,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2FB,XXXXX
-152.887443620395,57.8560915423839,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2FE,XXXXX
-152.887589373421,57.8551950180756,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,301,XXXXX
-152.888179503408,57.8545405234315,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,304,XXXXX
-152.888764310102,57.8538914538863,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,307,XXXXX
-152.889354312965,57.8532396899628,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,30A,XXXXX
-152.889939161422,57.8525878782628,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,30D,XXXXX
-152.890523988633,57.8519360637287,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,310,XXXXX
-152.89111392739,57.8512842912067,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,313,XXXXX
-152.90245731556,57.7884215967404,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,316,XXXXX
-152.89169862795,57.8506352074479,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,319,XXXXX
-152.892299125304,57.8499725729116,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,31C,XXXXX
-152.892936955618,57.849263728827,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,31F,XXXXX
-152.893479020237,57.8486635347043,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,322,XXXXX
